Code_Spatial,Landclass_Spatial,Dataset_Spatial,Landclass_Traffic,Landclass_ExpOp,Landclass_ExpOp_Lowland,Landclass_ExpOp_Upland,Code_ExpOp_GFS,Landclass_ExpOp_GFS
1,Deciduous woodland,LCM2019,,Broadleaved Woodland,Broadleaved Woodland,Broadleaved Woodland,4,Deciduous woodland
2,Coniferous woodland,LCM2019,,Coniferous Woodland,Coniferous Woodland,Coniferous Woodland,3,Coniferous Woodland
3,Arable,LCM2019,,Arable and Horticulture,Arable and Horticulture,Arable and Horticulture,30,Cereal
4,Improve grassland,LCM2019,,Improved Grassland,Improved Grassland,Improved Grassland,14,Improved Permanent Grassland
5,Neutral grassland,LCM2019,,,Lowland Semi-natural Grassland,Upland Semi-natural Grassland,22,Unimproved Permanent Grassland
6,Calcareous grassland,LCM2019,,,Lowland Semi-natural Grassland,Upland Semi-natural Grassland,22,Unimproved Permanent Grassland
7,Acid grassland,LCM2019,,,Lowland Semi-natural Grassland,Upland Semi-natural Grassland,22,Unimproved Permanent Grassland
8,Fen,LCM2019,,"Fen, Marsh and Swamp","Fen, Marsh and Swamp","Fen, Marsh and Swamp",23,Wetlands
9,Heather,LCM2019,,,Lowland Heathland,Upland Heathland,15,Moorland
10,Heather grassland,LCM2019,,,Lowland Heathland_Heather grassland (i.e. low heather density),Upland Heathland_Heather grassland (i.e. low heather density),15,Moorland
11,Bog,LCM2019,,Bog,Bog,Bog,23,Wetlands
12,Inland rock,LCM2019,,Inland Rock,Inland Rock,Inland Rock,0,Unsuitable
13,Saltwater,LCM2019,,Saltwater,Saltwater,Saltwater,0,Unsuitable
14,Freshwater,LCM2019,,Freshwater,Freshwater,Freshwater,0,Unsuitable
15,Supralittoral rock,LCM2019,,Coastal Rock,Coastal Rock,Coastal Rock,0,Unsuitable
16,Supralittoral sediment,LCM2019,,Coastal Sediment,Coastal Sediment,Coastal Sediment,2,"Beaches, Sand Dunes/Plane"
17,Littoral rock,LCM2019,,Coastal Rock,Coastal Rock,Coastal Rock,0,Unsuitable
18,Littoral sediment,LCM2019,,Coastal Sediment,Coastal Sediment,Coastal Sediment,2,"Beaches, Sand Dunes/Plane"
19,Saltmarsh,LCM2019,,Saltmarsh,Saltmarsh,Saltmarsh,19,Salt Marsh
20,Urban,LCM2019,,"Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)",46,Urban
21,Suburban,LCM2019,,Suburban (areas with a mixture of buildings and gardens),Suburban (areas with a mixture of buildings and gardens),Suburban (areas with a mixture of buildings and gardens),7,Gardens
50,WinterWheat,PlusCrops2019,,Arable and Horticulture_Winter cereals,Arable and Horticulture_Winter cereals,Arable and Horticulture_Winter cereals,30,Cereal
51,SpringWheat,PlusCrops2019,,Arable and Horticulture_Spring cereals,Arable and Horticulture_Spring cereals,Arable and Horticulture_Spring cereals,30,Cereal
52,WinterBarley,PlusCrops2019,,Arable and Horticulture_Winter cereals,Arable and Horticulture_Winter cereals,Arable and Horticulture_Winter cereals,30,Cereal
53,SpringBarley,PlusCrops2019,,Arable and Horticulture_Spring cereals,Arable and Horticulture_Spring cereals,Arable and Horticulture_Spring cereals,30,Cereal
54,OilseedRape,PlusCrops2019,,Arable and Horticulture_Oilseed rape,Arable and Horticulture_Oilseed rape,Arable and Horticulture_Oilseed rape,33,Oilseed Rape
55,FieldBeans,PlusCrops2019,,Arable and Horticulture_Field beans,Arable and Horticulture_Field beans,Arable and Horticulture_Field beans,28,Broad/Field Beans
56,Potatoes,PlusCrops2019,,"Arable and Horticulture_Potatoes, root crops and vegetables","Arable and Horticulture_Potatoes, root crops and vegetables","Arable and Horticulture_Potatoes, root crops and vegetables",38,Potatoes
57,SugarBeet,PlusCrops2019,,"Arable and Horticulture_Potatoes, root crops and vegetables","Arable and Horticulture_Potatoes, root crops and vegetables","Arable and Horticulture_Potatoes, root crops and vegetables",42,Sugar Beet
58,Maize,PlusCrops2019,,Arable and Horticulture_Maize,Arable and Horticulture_Maize,Arable and Horticulture_Maize,32,Maize
59,ImprovedGrass,PlusCrops2019,,Improved Grassland,Improved Grassland,Improved Grassland,14,Improved Permanent Grassland
60,Other,PlusCrops2019,,"Arable and Horticulture_Potatoes, root crops and vegetables","Arable and Horticulture_Potatoes, root crops and vegetables","Arable and Horticulture_Potatoes, root crops and vegetables",30,Cereal
61,Peas,PlusCrops2019,,"Arable and Horticulture_Potatoes, root crops and vegetables","Arable and Horticulture_Potatoes, root crops and vegetables","Arable and Horticulture_Potatoes, root crops and vegetables",37,Peas
62,WinterOats,PlusCrops2019,,Arable and Horticulture_Winter cereals,Arable and Horticulture_Winter cereals,Arable and Horticulture_Winter cereals,30,Cereal
63,SolarFarm,PlusCrops2019,,Improved Grassland,Improved Grassland,Improved Grassland,14,Improved Permanent Grassland
150,Allotments Or Community Growing Spaces,OSGreenSpace,,Urban Greenspace,Urban Greenspace,Urban Greenspace,7,Gardens
