NUTSRegion,Cerealsyield_Averageoffarmswith_timeav,Wheatyield_Averageoffarmswith_timeav,Oilseedrapeyield_Averageoffarmswith_timeav,Cerealsyield_Averageoffarmswith_relativetonationalyield_timeav,Wheatyield_Averageoffarmswith_relativetonationalyield_timeav,Oilseedrapeyield_Averageoffarmswith_relativetonationalyield_timeav
EastMidlands,7.9825,8.6875,3.3725,1.003438953,1.004360506,0.996101086
EastofEngland,8.1075,8.69,3.2475,1.019116161,1.00390405,0.95962086
ENGLAND,7.9575,8.655,3.3875,1,1,1
London,0,0,0,0,0,0
NorthEast,7.96,8.68,3.705,1.000214271,1.002868339,1.090709635
NorthWest,6.4025,7.5625,3.445,0.803757048,0.873941184,1.021013535
SouthEast,7.9825,8.8625,3.38,1.002882038,1.023747997,0.998058282
SouthWest,7.785,8.4975,3.1225,0.979932997,0.981714032,0.920492341
WestMidlands,7.855,8.3925,3.6675,0.986273486,0.969376783,1.082273698
YorkshireandtheHumber,8.255,8.8425,3.55,1.036093797,1.021514243,1.048708411
