species,code,lu,ref_to,Flor_P1_b,Flor_P1_l,Flor_P1_u,Flor_P2_b,Flor_P2_l,Flor_P2_u,Flor_P3_b,Flor_P3_l,Flor_P3_u,Nest_P1_b,Nest_P1_l,Nest_P1_u,Nest_per_ha
1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,NA,7.851851852,6.076747024,9.62695668,7.851851852,6.076747024,9.62695668,7.851851852,6.076747024,9.62695668,0.518518519,0.473543058,0.563493979,9.990125185
1,2,2,NA,11.09090909,8.95687241,13.22494577,11.09090909,8.95687241,13.22494577,11.09090909,8.95687241,13.22494577,0.346153846,0.229402961,0.462904732,6.669231923
1,3,3,NA,3.882352941,2.810097085,4.954608797,3.882352941,2.810097085,4.954608797,3.882352941,2.810097085,4.954608797,0.367741935,0.309728218,0.425755653,7.085162516
1,4,4,NA,12,10.88230181,13.11769819,12,10.88230181,13.11769819,12,10.88230181,13.11769819,0.615789474,0.559090323,0.672488625,11.86421258
1,5,5,NA,11.04761905,9.690685062,12.40455303,11.04761905,9.690685062,12.40455303,11.04761905,9.690685062,12.40455303,0.660606061,0.593831257,0.727380865,12.72767897
1,6,6,NA,12.13793103,10.69954113,13.57632094,12.13793103,10.69954113,13.57632094,12.13793103,10.69954113,13.57632094,0.557142857,0.474687161,0.639598553,10.73428757
1,7,7,NA,17.62162162,16.76328792,18.47995532,17.62162162,16.76328792,18.47995532,17.62162162,16.76328792,18.47995532,0.775,0.752671196,0.797328804,14.93166925
1,8,8,NA,8.592592593,6.594628631,10.59055655,8.592592593,6.594628631,10.59055655,8.592592593,6.594628631,10.59055655,0.44137931,0.370296403,0.512462218,8.503909517
1,9,9,NA,17.18518519,16.09303935,18.27733102,17.18518519,16.09303935,18.27733102,17.18518519,16.09303935,18.27733102,0.38,0.271809136,0.488190864,7.3213346
1,10,10,NA,5.043478261,3.815778633,6.271177889,5.043478261,3.815778633,6.271177889,5.043478261,3.815778633,6.271177889,0.32,0.206121025,0.433878975,6.1653344
1,11,11,NA,12.625,11.18325487,14.06674513,12.625,11.18325487,14.06674513,12.625,11.18325487,14.06674513,0.776470588,0.700273746,0.85266743,14.96000259
1,12,12,NA,17.14285714,16.11066152,18.17505276,17.14285714,16.11066152,18.17505276,17.14285714,16.11066152,18.17505276,0.822222222,0.784024908,0.860419536,15.84148422
1,13,13,NA,7.555555556,5.711845329,9.399265782,7.555555556,5.711845329,9.399265782,7.555555556,5.711845329,9.399265782,0.382857143,0.30174098,0.463973306,7.376382229
1,14,14,NA,4.588235294,3.480009689,5.6964609,4.588235294,3.480009689,5.6964609,4.588235294,3.480009689,5.6964609,0.24,0.174023177,0.305976823,4.6240008
