Species,Species_name,Code_ExpOp_GFS,Landclass_ExpOp_GFS,Flor_P1_b,Flor_p2_b,Flor_P3_b,Nest_per_ha,Total_score,Flor_Cov_P1_b,Flor_Cov_P2_b,Flor_Cov_P3_b
1,GroundNestingBumblebees,1,Afforestation,7.851851852,7.851851852,7.851851852,9.990125185,235.3229488,9.848484848,9.848484848,33.82154882
1,GroundNestingBumblebees,2,"Beaches, Sand Dunes/Plane",11.09090909,11.09090909,11.09090909,6.669231923,221.9035349,7.87037037,7.87037037,41.65
1,GroundNestingBumblebees,3,Coniferous Woodland,3.882352941,3.882352941,3.882352941,7.085162516,82.52130459,3.333333333,3.333333333,13.50877193
1,GroundNestingBumblebees,4,Deciduous woodland,12,12,12,11.86421258,427.1116529,16.43687131,16.43687131,44.67236467
1,GroundNestingBumblebees,5,Ditches,11.04761905,11.04761905,11.04761905,12.72767897,421.831646,12.43367935,12.43367935,47.95937211
1,GroundNestingBumblebees,6,Fallow,12.13793103,12.13793103,12.13793103,10.73428757,390.8761265,13.68651893,13.68651893,47.5
1,GroundNestingBumblebees,7,Gardens,17.62162162,17.62162162,17.62162162,14.93166925,789.360677,24.8816568,24.8816568,75.93425606
1,GroundNestingBumblebees,8,Golf Courses,8.592592593,8.592592593,8.592592593,8.503909517,219.2118898,11.05820106,11.05820106,40.83333333
1,GroundNestingBumblebees,9,Grass and Legume Ley,17.18518519,17.18518519,17.18518519,7.3213346,377.4554728,13.65,13.65,72.2
1,GroundNestingBumblebees,10,Grass Ley,5.043478261,5.043478261,5.043478261,6.1653344,93.28419005,6.25,6.25,21.93333333
1,GroundNestingBumblebees,11,Grassy Field Edges,12.625,12.625,12.625,14.96000259,566.6100981,11.79733333,11.79733333,38.83101852
1,GroundNestingBumblebees,12,Hedgerows,17.14285714,17.14285714,17.14285714,15.84148422,814.7049026,20.65044383,20.65044383,48.70185185
1,GroundNestingBumblebees,13,Improved Meadow,7.555555556,7.555555556,7.555555556,7.376382229,167.1979972,10.4476584,10.4476584,47.22222222
1,GroundNestingBumblebees,14,Improved Permanent Grassland,4.588235294,4.588235294,4.588235294,4.6240008,63.64801101,8.689458689,8.689458689,28.11016144
1,GroundNestingBumblebees,15,Moorland,14.75,14.75,14.75,9.908573143,438.4543616,8.163265306,8.163265306,48.89066667
1,GroundNestingBumblebees,16,Organic Ley,13.8,13.8,13.8,6.972699619,288.6697642,13.16666667,13.16666667,55.17037037
1,GroundNestingBumblebees,17,Poplar,11.2,11.2,11.2,4.6240008,155.3664269,10.95238095,10.95238095,8.888888889
1,GroundNestingBumblebees,18,Salix,17.03225806,17.03225806,17.03225806,4.656111917,237.9122992,19.0926276,19.0926276,19.39393939
1,GroundNestingBumblebees,19,Salt Marsh,9.5,9.5,9.5,1.926667,54.9100095,5.454545455,5.454545455,33.12757202
1,GroundNestingBumblebees,20,Scrub,15.31034483,15.31034483,15.31034483,12.7160022,584.0591356,13.45167653,13.45167653,45.89620485
1,GroundNestingBumblebees,21,Unimproved Meadow,15.89473684,15.89473684,15.89473684,12.77104983,608.9774287,12.83950617,12.83950617,72.08804283
1,GroundNestingBumblebees,22,Unimproved Permanent Grassland,14.11111111,14.11111111,14.11111111,10.45904943,442.7664258,11.25900206,11.25900206,64.18401745
1,GroundNestingBumblebees,23,Wetlands,10.46153846,10.46153846,10.46153846,4.587302381,143.9707209,5.3125,5.3125,44.44444444
1,GroundNestingBumblebees,24,Woodland Edges,15.31428571,15.31428571,15.31428571,15.19926189,698.2975175,17.7890625,17.7890625,50.27514
1,GroundNestingBumblebees,25,Other1 (please state),18.85714286,18.85714286,18.85714286,17.51515455,990.8573147,5.204081633,5.204081633,73.95555556
1,GroundNestingBumblebees,26,Other2 (please state),16,16,16,11.560002,554.880096,10,10,66.66666667
1,GroundNestingBumblebees,27,Berries (exc. Strawberries & Raspberries),15.51515152,15.51515152,15.51515152,5.955152545,277.1852822,0,27.17261905,46.97222222
1,GroundNestingBumblebees,28,Broad/Field Beans,16.82051282,16.82051282,16.82051282,5.266223133,265.7417212,0,21.49122807,26.96655133
1,GroundNestingBumblebees,29,Buckwheat,1.230769231,1.230769231,1.230769231,1.926667,7.113847386,0,0,6.666666667
1,GroundNestingBumblebees,30,Cereal,1.023255814,1.023255814,1.023255814,2.711605407,8.323997994,3.12605042,3.12605042,10.53416149
1,GroundNestingBumblebees,31,Linseed/Flax,11.69230769,11.69230769,11.69230769,4.306667412,151.0646415,0,13.29931973,15.68047337
1,GroundNestingBumblebees,32,Maize,2.857142857,2.857142857,2.857142857,0.917460476,7.863946937,0.760869565,0.760869565,12.38095238
1,GroundNestingBumblebees,33,Oilseed Rape,17.33333333,17.33333333,17.33333333,4.6240008,240.4480416,0,29.53217956,19.77124183
1,GroundNestingBumblebees,34,Orchards,16.68571429,16.68571429,16.68571429,10.91777967,546.5128568,31.775,0,32.63333333
1,GroundNestingBumblebees,35,Organic Cereals,6.857142857,6.857142857,6.857142857,2.40833375,49.54286571,9.071180556,9.071180556,34.69387755
1,GroundNestingBumblebees,36,Organic Oilseed Rape,17.5,17.5,17.5,5.678597474,298.1263674,15.22491349,15.22491349,29.15555556
1,GroundNestingBumblebees,37,Peas,15.57142857,15.57142857,15.57142857,4.553940182,212.7340628,0,10.79365079,22.11734694
1,GroundNestingBumblebees,38,Potatoes,8.571428571,8.571428571,8.571428571,3.302857714,84.93062693,0,0,13.33333333
1,GroundNestingBumblebees,39,Reed Canary Grass,3.428571429,3.428571429,3.428571429,6.1653344,63.41486812,0,0,2.962962963
1,GroundNestingBumblebees,40,Strawberry/Raspberry in Polytunnels,11.76470588,11.76470588,11.76470588,2.848116435,100.5217565,0,48.44907407,61.61242604
1,GroundNestingBumblebees,41,Strawberry/Raspberry in the open,16.25,16.25,16.25,7.706668,375.700065,0,10.0308642,61.44470868
1,GroundNestingBumblebees,42,Sugar Beet,0,0,0,0,0,0,0,20
1,GroundNestingBumblebees,43,Vegetables,6.25,6.25,6.25,3.0826672,57.80001,2.5,2.5,37.14285714
1,GroundNestingBumblebees,44,Other3 (please state),NA,NA,NA,NA,NA,NA,NA,NA
1,GroundNestingBumblebees,45,Other4 (please state),NA,NA,NA,NA,NA,NA,NA,NA
1,GroundNestingBumblebees,46,Urban,0,0,0,0,0,0,0,0
2,GroundNestingSolitaryBees,1,Afforestation,8.869565217,8.869565217,8.869565217,9.714285714,258.484472,9.848484848,9.848484848,33.82154882
2,GroundNestingSolitaryBees,2,"Beaches, Sand Dunes/Plane",12.95238095,12.95238095,12.95238095,12.6,489.5999999,7.87037037,7.87037037,41.65
2,GroundNestingSolitaryBees,3,Coniferous Woodland,4.307692308,4.307692308,4.307692308,5.666666667,73.23076924,3.333333333,3.333333333,13.50877193
2,GroundNestingSolitaryBees,4,Deciduous woodland,12.375,12.375,12.375,10.75862069,399.4137931,16.43687131,16.43687131,44.67236467
2,GroundNestingSolitaryBees,5,Ditches,10.6,10.6,10.6,11.84615385,376.7076924,12.43367935,12.43367935,47.95937211
2,GroundNestingSolitaryBees,6,Fallow,12.15384615,12.15384615,12.15384615,12.61538462,459.9763314,13.68651893,13.68651893,47.5
2,GroundNestingSolitaryBees,7,Gardens,16.12903226,16.12903226,16.12903226,14.94117647,722.9601519,24.8816568,24.8816568,75.93425606
2,GroundNestingSolitaryBees,8,Golf Courses,8.571428571,8.571428571,8.571428571,12,308.5714286,11.05820106,11.05820106,40.83333333
2,GroundNestingSolitaryBees,9,Grass and Legume Ley,11.36842105,11.36842105,11.36842105,6.933333333,236.4631578,13.65,13.65,72.2
2,GroundNestingSolitaryBees,10,Grass Ley,7.75,7.75,7.75,6.285714286,146.1428571,6.25,6.25,21.93333333
2,GroundNestingSolitaryBees,11,Grassy Field Edges,10.37037037,10.37037037,10.37037037,9.6,298.6666667,11.79733333,11.79733333,38.83101852
2,GroundNestingSolitaryBees,12,Hedgerows,16.91428571,16.91428571,16.91428571,13.02857143,661.1069387,20.65044383,20.65044383,48.70185185
2,GroundNestingSolitaryBees,13,Improved Meadow,8.96,8.96,8.96,7.703703704,207.0755556,10.4476584,10.4476584,47.22222222
2,GroundNestingSolitaryBees,14,Improved Permanent Grassland,4.516129032,4.516129032,4.516129032,6.75862069,91.56840934,8.689458689,8.689458689,28.11016144
2,GroundNestingSolitaryBees,15,Moorland,12.17391304,12.17391304,12.17391304,13.27272727,484.7430828,8.163265306,8.163265306,48.89066667
2,GroundNestingSolitaryBees,16,Organic Ley,9.230769231,9.230769231,9.230769231,9.142857143,253.1868132,13.16666667,13.16666667,55.17037037
2,GroundNestingSolitaryBees,17,Poplar,6,6,6,5.5,99,10.95238095,10.95238095,8.888888889
2,GroundNestingSolitaryBees,18,Salix,13,13,13,7.25,282.75,19.0926276,19.0926276,19.39393939
2,GroundNestingSolitaryBees,19,Salt Marsh,10.4,10.4,10.4,7.2,224.64,5.454545455,5.454545455,33.12757202
2,GroundNestingSolitaryBees,20,Scrub,12.17391304,12.17391304,12.17391304,9.913043478,362.0415878,13.45167653,13.45167653,45.89620485
2,GroundNestingSolitaryBees,21,Unimproved Meadow,16.125,16.125,16.125,11.38461538,550.730769,12.83950617,12.83950617,72.08804283
2,GroundNestingSolitaryBees,22,Unimproved Permanent Grassland,14,14,14,12.4137931,521.3793102,11.25900206,11.25900206,64.18401745
2,GroundNestingSolitaryBees,23,Wetlands,8,8,8,6.4,153.6,5.3125,5.3125,44.44444444
2,GroundNestingSolitaryBees,24,Woodland Edges,13.79310345,13.79310345,13.79310345,12.64,523.0344828,17.7890625,17.7890625,50.27514
2,GroundNestingSolitaryBees,25,Other1 (please state),15.2,15.2,15.2,12,547.2,5.204081633,5.204081633,73.95555556
2,GroundNestingSolitaryBees,26,Other2 (please state),NA,NA,NA,NA,NA,10,10,66.66666667
2,GroundNestingSolitaryBees,27,Berries (exc. Strawberries & Raspberries),12.76923077,12.76923077,12.76923077,6.2,237.5076923,0,27.17261905,46.97222222
2,GroundNestingSolitaryBees,28,Broad/Field Beans,9.161290323,9.161290323,9.161290323,8.125,223.3064516,0,21.49122807,26.96655133
2,GroundNestingSolitaryBees,29,Buckwheat,8,8,8,8,192,0,0,6.666666667
2,GroundNestingSolitaryBees,30,Cereal,1.828571429,1.828571429,1.828571429,8,43.8857143,3.12605042,3.12605042,10.53416149
2,GroundNestingSolitaryBees,31,Linseed/Flax,12,12,12,4.615384615,166.1538461,0,13.29931973,15.68047337
2,GroundNestingSolitaryBees,32,Maize,2.24,2.24,2.24,7.130434783,47.91652174,0.760869565,0.760869565,12.38095238
2,GroundNestingSolitaryBees,33,Oilseed Rape,16.22222222,16.22222222,16.22222222,8.275862069,402.7586206,0,29.53217956,19.77124183
2,GroundNestingSolitaryBees,34,Orchards,17.57142857,17.57142857,17.57142857,14.37037037,757.5238094,31.775,0,32.63333333
2,GroundNestingSolitaryBees,35,Organic Cereals,8.8,8.8,8.8,8,211.2,9.071180556,9.071180556,34.69387755
2,GroundNestingSolitaryBees,36,Organic Oilseed Rape,17.25,17.25,17.25,8,414,15.22491349,15.22491349,29.15555556
2,GroundNestingSolitaryBees,37,Peas,8,8,8,8.571428571,205.7142857,0,10.79365079,22.11734694
2,GroundNestingSolitaryBees,38,Potatoes,8,8,8,6.5,156,0,0,13.33333333
2,GroundNestingSolitaryBees,39,Reed Canary Grass,4,4,4,4,48,0,0,2.962962963
