optim,number,rep,radius,complete
GNB,1,1,500,t
GNB,2,2,500,t
GNB,3,3,500,t
GNB,4,4,500,t
GNB,5,5,500,t
GNB,6,6,500,t
GNB,7,7,500,t
GNB,8,8,500,t
GNB,9,9,500,t
GNB,10,10,500,t
GNB,11,11,500,t
GNB,12,12,500,t
GNB,13,13,500,t
GNB,14,14,500,t
GNB,15,15,500,t
GNB,16,16,500,t
GNB,17,17,500,t
GNB,18,18,500,t
GNB,19,19,500,t
GNB,20,20,500,t
GNB,21,21,500,t
GNB,22,22,500,t
GNB,23,23,500,t
GNB,24,24,500,t
GNB,25,25,500,t
GNB,26,1,1000,t
GNB,27,2,1000,t
GNB,28,3,1000,t
GNB,29,4,1000,t
GNB,30,5,1000,t
GNB,31,6,1000,t
GNB,32,7,1000,t
GNB,33,8,1000,t
GNB,34,9,1000,t
GNB,35,10,1000,t
GNB,36,11,1000,t
GNB,37,12,1000,t
GNB,38,13,1000,t
GNB,39,14,1000,t
GNB,40,15,1000,t
GNB,41,16,1000,t
GNB,42,17,1000,t
GNB,43,18,1000,t
GNB,44,19,1000,t
GNB,45,20,1000,t
GNB,46,21,1000,t
GNB,47,22,1000,t
GNB,48,23,1000,t
GNB,49,24,1000,t
GNB,50,25,1000,t
GNB,51,1,2000,f
GNB,52,2,2000,t
GNB,53,3,2000,t
GNB,54,4,2000,t
GNB,55,5,2000,t
GNB,56,6,2000,t
GNB,57,7,2000,t
GNB,58,8,2000,t
GNB,59,9,2000,t
GNB,60,10,2000,t
GNB,61,11,2000,t
GNB,62,12,2000,t
GNB,63,13,2000,t
GNB,64,14,2000,t
GNB,65,15,2000,f
GNB,66,16,2000,t
GNB,67,17,2000,f
GNB,68,18,2000,f
GNB,69,19,2000,f
GNB,70,20,2000,f
GNB,71,21,2000,f
GNB,72,22,2000,f
GNB,73,23,2000,f
GNB,74,24,2000,f
GNB,75,25,2000,t
GNBFixed,1,1,500,t
GNBFixed,2,2,500,t
GNBFixed,3,3,500,t
GNBFixed,4,4,500,t
GNBFixed,5,5,500,t
GNBFixed,6,6,500,t
GNBFixed,7,7,500,t
GNBFixed,8,8,500,t
GNBFixed,9,9,500,t
GNBFixed,10,10,500,t
GNBFixed,11,11,500,t
GNBFixed,12,12,500,t
GNBFixed,13,13,500,t
GNBFixed,14,14,500,t
GNBFixed,15,15,500,t
GNBFixed,16,16,500,t
GNBFixed,17,17,500,t
GNBFixed,18,18,500,t
GNBFixed,19,19,500,t
GNBFixed,20,20,500,t
GNBFixed,21,21,500,t
GNBFixed,22,22,500,t
GNBFixed,23,23,500,t
GNBFixed,24,24,500,t
GNBFixed,25,25,500,t
GNBFixed,26,1,1000,t
GNBFixed,27,2,1000,t
GNBFixed,28,3,1000,t
GNBFixed,29,4,1000,t
GNBFixed,30,5,1000,t
GNBFixed,31,6,1000,t
GNBFixed,32,7,1000,t
GNBFixed,33,8,1000,t
GNBFixed,34,9,1000,t
GNBFixed,35,10,1000,t
GNBFixed,36,11,1000,t
GNBFixed,37,12,1000,t
GNBFixed,38,13,1000,t
GNBFixed,39,14,1000,t
GNBFixed,40,15,1000,t
GNBFixed,41,16,1000,t
GNBFixed,42,17,1000,t
GNBFixed,43,18,1000,t
GNBFixed,44,19,1000,t
GNBFixed,45,20,1000,t
GNBFixed,46,21,1000,t
GNBFixed,47,22,1000,t
GNBFixed,48,23,1000,t
GNBFixed,49,24,1000,t
GNBFixed,50,25,1000,t
GNBFixed,51,1,2000,f
GNBFixed,52,2,2000,t
GNBFixed,53,3,2000,t
GNBFixed,54,4,2000,t
GNBFixed,55,5,2000,t
GNBFixed,56,6,2000,t
GNBFixed,57,7,2000,t
GNBFixed,58,8,2000,t
GNBFixed,59,9,2000,t
GNBFixed,60,10,2000,t
GNBFixed,61,11,2000,t
GNBFixed,62,12,2000,t
GNBFixed,63,13,2000,t
GNBFixed,64,14,2000,t
GNBFixed,65,15,2000,t
GNBFixed,66,16,2000,t
GNBFixed,67,17,2000,t
GNBFixed,68,18,2000,t
GNBFixed,69,19,2000,t
GNBFixed,70,20,2000,t
GNBFixed,71,21,2000,t
GNBFixed,72,22,2000,t
GNBFixed,73,23,2000,t
GNBFixed,74,24,2000,t
GNBFixed,75,25,2000,t
TNB,1,1,500,t
TNB,2,2,500,t
TNB,3,3,500,t
TNB,4,4,500,t
TNB,5,5,500,t
TNB,6,6,500,t
TNB,7,7,500,t
TNB,8,8,500,t
TNB,9,9,500,t
TNB,10,10,500,t
TNB,11,11,500,t
TNB,12,12,500,t
TNB,13,13,500,t
TNB,14,14,500,t
TNB,15,15,500,t
TNB,16,16,500,t
TNB,17,17,500,t
TNB,18,18,500,t
TNB,19,19,500,t
TNB,20,20,500,t
TNB,21,21,500,t
TNB,22,22,500,t
TNB,23,23,500,t
TNB,24,24,500,t
TNB,25,25,500,t
TNB,26,1,1000,t
TNB,27,2,1000,t
