,radius,popSize,generations,complete,plot
1,500,50,25,F,F
2,500,50,50,T,T
3,500,50,75,T,T
4,500,50,100,T,T
5,500,75,25,T,F
6,500,75,50,T,T
7,500,75,75,T,T
8,500,75,100,T,T
9,500,100,25,T,F
10,500,100,50,T,T
11,500,100,75,T,T
12,500,100,100,T,T
13,1000,50,25,T,F
14,1000,50,50,T,T
15,1000,50,75,T,T
16,1000,50,100,T,T
17,1000,75,25,T,F
18,1000,75,50,T,T
19,1000,75,75,T,T
20,1000,75,100,T,T
21,1000,100,25,T,F
22,1000,100,50,T,T
23,1000,100,75,T,T
24,1000,100,100,T,T
25,2000,50,25,T,F
26,2000,50,50,T,T
27,2000,50,75,T,T
28,2000,50,100,T,T
29,2000,75,25,T,F
30,2000,75,50,T,T
31,2000,75,75,T,T
32,2000,75,100,T,T
33,2000,100,25,T,F
34,2000,100,50,T,T
35,2000,100,75,T,T
36,2000,100,100,T,T
37,2000,10,200,T,T
38,2000,10,150,T,T
