"","X.1","X","gnb","tnb","gns","farmer","optim","rep","landscape"
"1",1,1,109940893640780,45249551272273.4,5545560434.17074,7799178.9251104,"GNB",52,1
"2",2,2,109572519184897,44499605689646.7,5557911061.062,7828781.56262467,"GNB",52,2
"3",3,3,109468467391032,48888293809410.3,5538650848.86933,7800130.33787906,"GNB",52,3
"4",4,4,114088421900472,45735580585836.9,5572945186.35696,7847189.59974318,"GNB",53,1
"5",5,5,112609788596582,44775565355603.2,5557210905.14811,7839649.64871981,"GNB",53,2
"6",6,6,112278792616035,46921909997792.3,5557898267.38042,7838625.03089449,"GNB",53,3
"7",7,7,108898149273526,54192070391063.9,5510611854.33691,7760136.82869079,"GNB",54,1
"8",8,8,108081816132281,47004353340497.1,5519494653.28785,7845234.76354752,"GNB",54,2
"9",9,9,107677692772833,47448809451912.3,5524069245.83273,7832291.43193372,"GNB",54,3
"10",10,10,109152714581566,48325206076229.6,5535118294.69413,7793272.47880497,"GNB",55,1
"11",11,11,108856615273480,50332342736505.1,5509502456.23613,7763618.9319458,"GNB",55,2
"12",12,12,107976180688720,43652368356100,5520368502.73184,7815129.23812025,"GNB",55,3
"13",13,13,112542908578224,49469690933303.8,5568109115.64316,7798915.28937059,"GNB",56,1
"14",14,14,110696332186213,48592424214036.1,5556495279.86714,7812660.74255037,"GNB",56,2
"15",15,15,108892593429957,49716041117958.6,5540745727.27637,7795334.67824202,"GNB",56,3
"16",16,16,113515754181258,53876956806566.9,5563143295.97223,7773369.01722868,"GNB",57,1
"17",17,17,112990263651090,52371422701282.6,5562537346.29327,7777107.88905971,"GNB",57,2
"18",18,18,112027023742507,55045818983623.6,5547378675.66188,7752133.83466544,"GNB",57,3
"19",19,19,109309154793546,50270111321486.8,5518559066.48869,7773570.67767209,"GNB",58,1
"20",20,20,108957596444996,50289592666725.2,5522755327.88689,7782337.47831377,"GNB",58,2
"21",21,21,108866881825350,49746418236589.2,5539675307.08636,7804265.3133052,"GNB",58,3
"22",22,22,109671135904113,46995091472360.9,5546848159.25165,7824174.89183244,"GNB",59,1
"23",23,23,109166539746306,52297396172162.3,5533431245.57773,7793805.4941571,"GNB",59,2
"24",24,24,109132414201215,48180493613610.9,5541526520.43158,7796894.63227532,"GNB",59,3
"25",25,25,109396686991012,47983399560852,5543803744.02945,7832357.46691814,"GNB",60,1
"26",26,26,108948380429710,50345671633880.7,5507787901.55186,7792609.38788091,"GNB",60,2
"27",27,27,108719889162639,48332128813626.5,5530404594.3992,7826656.92721608,"GNB",60,3
"28",28,28,108233296747600,47445539821287.4,5539039854.44869,7830208.59280769,"GNB",61,1
"29",29,29,107475725323545,44039583615707,5517585083.75859,7864226.00035606,"GNB",61,2
"30",30,30,107365333400934,47868097521420.3,5503716225.51653,7839497.35766568,"GNB",61,3
"31",31,31,110408206047268,52200395397166.8,5525887051.60803,7774126.47070052,"GNB",62,1
"32",32,32,109615802803533,47770933357602.7,5543978934.51328,7817587.68028724,"GNB",62,2
"33",33,33,109408676121899,50078836129156.7,5539372359.85168,7813152.02887673,"GNB",62,3
"34",34,34,109817689052731,48296694875999.9,5539761131.09899,7798268.94850793,"GNB",63,1
"35",35,35,109625539856681,49818992377295.2,5546557994.26371,7770055.5023553,"GNB",63,2
"36",36,36,109013815428227,48029769802351.7,5549233873.02897,7807557.18445001,"GNB",63,3
"37",37,37,108776053580856,46290642921617.9,5501199428.30071,7825818.09174126,"GNB",64,1
"38",38,38,108041474203890,45204136227165.9,5491360452.00467,7829832.77596407,"GNB",64,2
"39",39,39,108198984846067,47502108578459.3,5499992179.03857,7818820.0422911,"GNB",64,3
"40",40,40,111582281983168,54592308573026.8,5539970185.99512,7752758.12205344,"GNB",66,1
"41",41,41,111481817492873,54523490641995.7,5537856045.77171,7762495.34856923,"GNB",66,2
"42",42,42,111057566633145,56323841070071.5,5530388315.25431,7736101.47026377,"GNB",66,3
"43",43,43,108938295477551,50621594516428.1,5515599452.41006,7769783.80203267,"GNB",75,1
"44",44,44,108449546254481,47784773314915.3,5541429766.17251,7807705.50961716,"GNB",75,2
"45",45,45,108362256094750,51330138894425.6,5504102867.68125,7766375.08643691,"GNB",75,3
"46",46,46,109159323238050,67574530971223.7,5478700707.31055,7655783.44200483,"TNB",51,1
"47",47,47,108437104467333,67269451959654.7,5473309338.06901,7641245.00846584,"TNB",51,2
"48",48,48,103143857693910,66750588277988.1,5433490024.94067,7686366.33709079,"TNB",51,3
"49",49,49,104381409007042,69098038626831.1,5437230038.04382,7652847.8208139,"TNB",52,1
"50",50,50,103207447574995,67936452162062.5,5436017596.56584,7665033.24484726,"TNB",52,2
"51",51,51,103072385215340,66885593394870.2,5422958620.58222,7648463.21628845,"TNB",52,3
"52",52,52,103496873630450,68277587871064.2,5438460229.82979,7654685.02550771,"TNB",53,1
"53",53,53,102449251383737,67591311563848.7,5404178090.84983,7640644.21299748,"TNB",53,2
"54",54,54,103149247825990,66887889294285.4,5433732395.89611,7662443.4387891,"TNB",53,3
"55",55,55,100262168791004,64519937373905.3,5433193004.19006,7732252.38759335,"TNB",54,1
"56",56,56,100029210656800,64226959454498.6,5423963166.42829,7717830.51685166,"TNB",54,2
"57",57,57,99556410887958,63962440152403.8,5426830883.10065,7723961.62628915,"TNB",54,3
"58",58,58,96907805262203.5,63841711759421.5,5380554140.10417,7659744.36467016,"TNB",55,1
"59",59,59,96561930761795.8,63455950291039.5,5396106516.85523,7698746.90927001,"TNB",55,2
"60",60,60,95058428131110.6,63271671304262.1,5370017018.1827,7683181.69955236,"TNB",55,3
"61",61,61,104537278525903,66110839819362,5453449024.93039,7687211.10491084,"TNB",56,1
"62",62,62,100643072581451,65221961929400.3,5419842029.19707,7677963.43079186,"TNB",56,2
"63",63,63,106803191256298,65185765091820,5469238551.68523,7674511.82717101,"TNB",56,3
"64",64,64,103575617678887,65912657830679.7,5433549537.68043,7654122.54032062,"TNB",57,1
"65",65,65,101006739906427,65897005505783.2,5385640528.9756,7650629.33282926,"TNB",57,2
"66",66,66,104850129031028,65820435832286.8,5432378595.26968,7655521.676455,"TNB",57,3
"67",67,67,103333639538094,67399790391980.6,5433595898.84951,7669231.72432169,"TNB",58,1
"68",68,68,98447939817263,66802264618518.6,5394518009.67676,7684036.26046298,"TNB",58,2
"69",69,69,98734222053821.1,66074887230574.8,5409328165.1769,7704775.72704112,"TNB",58,3
"70",70,70,101557103535570,65626187079306.7,5417516497.05814,7678750.1496577,"TNB",59,1
"71",71,71,102186729266183,65595262446692.1,5411917225.15898,7692209.31184197,"TNB",59,2
"72",72,72,102073751886094,65163505798573.4,5434241709.9245,7688501.9481416,"TNB",59,3
"73",73,73,103055829153348,68124390953829.4,5416157781.5848,7663082.18059654,"TNB",60,1
"74",74,74,101160709143352,67625300673886.7,5402745166.88233,7661089.00348026,"TNB",60,2
"75",75,75,102880327509726,67286629602231.6,5447445159.64732,7671873.24558233,"TNB",60,3
"76",76,76,99975297015893.9,67191377672032.1,5399221498.73799,7666957.70550597,"TNB",61,1
"77",77,77,98397501168522.2,66387821895977.8,5385749766.48974,7684637.30880225,"TNB",61,2
"78",78,78,103807655364634,66070148396822.3,5461107147.67609,7680754.14730753,"TNB",61,3
"79",79,79,109011718390913,69111056335837.4,5482467982.77453,7651275.73473698,"TNB",62,1
"80",80,80,106416083928568,67937525834091.1,5456017518.87703,7667260.79923815,"TNB",62,2
"81",81,81,107271724216282,66909897580353,5483204995.73366,7665660.5596321,"TNB",62,3
"82",82,82,100203880967462,65333595051780.7,5369644045.10065,7660094.3672571,"TNB",63,1
"83",83,83,100127391752230,64594546324682.4,5375555070.3259,7663257.26791145,"TNB",63,2
"84",84,84,102021521852063,64583678939589.6,5437803603.90273,7705461.09681564,"TNB",63,3
"85",85,85,99386918794188.2,67121537186677.2,5384923770.08964,7656969.08928929,"TNB",64,1
"86",86,86,102710271010294,66681144679198,5420685150.62283,7658396.19508463,"TNB",64,2
"87",87,87,101705162297691,66454967800684.9,5424799009.28477,7681313.95312658,"TNB",64,3
"88",88,88,104578737406894,68993148965287,5420322276.91388,7667213.69296689,"TNB",65,1
"89",89,89,102654088279301,68737269555368.3,5372029893.02151,7653739.99016272,"TNB",65,2
"90",90,90,105008860004292,68604672386116.5,5436916313.08848,7671429.8246609,"TNB",65,3
"91",91,91,99837367184607,66661849359692,5425959496.28261,7688369.46142143,"TNB",66,1
"92",92,92,98445729255107,66345396002925,5358431947.87171,7660959.9622871,"TNB",66,2
"93",93,93,98093814585575,66261775874776.7,5363745953.76141,7667500.41680883,"TNB",66,3
"94",94,94,104009171740775,66235210090946.1,5446189539.55683,7669477.94340977,"TNB",67,1
"95",95,95,102737671419389,66074996067275.9,5457308964.4429,7694024.11618407,"TNB",67,2
"96",96,96,100924603965177,65477668225677.3,5411410794.68793,7656911.41576275,"TNB",67,3
"97",97,97,97953306296828,65977154618799.7,5360638046.41799,7672968.33248122,"TNB",69,1
