"","gnb","tnb","gns","farmer","optim","rep","landscape"
"1",-10262194092604.3,-2747812844185.02,-191645783.95997,-589613.255369512,"GNB",52,1
"2",-10173576501824.5,-2595146416013.86,-193968972.632695,-618487.124907075,"GNB",52,2
"3",-10122167550581,-3633033115399.08,-190876938.982607,-590160.275354047,"GNB",52,3
"4",-11734739761416.6,-2945598053196.27,-197800585.697919,-636270.192570709,"GNB",53,1
"5",-11363677274190,-2743474909709.64,-194712930.359877,-627748.355012417,"GNB",53,2
"6",-11354867632067.5,-3284394300365.51,-194874822.657116,-626335.283183101,"GNB",53,3
"7",-10352100991843.6,-5042457311896.21,-188289700.948229,-547149.558992197,"GNB",54,1
"8",-10210259011195,-3314565568114.75,-187342242.813632,-633171.140883912,"GNB",54,2
"9",-10088119849707.5,-3442995052797.51,-189023897.433036,-620323.819944805,"GNB",54,3
"10",-10338701313805.7,-3517223036529.02,-189944031.554596,-581775.432419798,"GNB",55,1
"11",-10314398507671.4,-4014872353847.47,-186049673.130447,-553207.830917082,"GNB",55,2
"12",-10125786413659.2,-2587330033483.05,-187125516.717002,-602185.036263002,"GNB",55,3
"13",-11516776156120.6,-3794068607295.21,-197518517.564992,-587709.963406444,"GNB",56,1
"14",-11005936507959,-3505276616216,-195420983.260067,-601149.476210537,"GNB",56,2
"15",-10119269490549.3,-3777429005002.44,-191486729.730375,-584279.492868297,"GNB",56,3
"16",-11791474729094.1,-5041321514748.99,-195819414.427473,-562558.903956533,"GNB",57,1
"17",-11641616522196.3,-4638899513688.6,-195377714.726459,-566240.981294241,"GNB",57,2
"18",-11308043171563,-5357573505863.21,-192884330.988158,-541924.115455644,"GNB",57,3
"19",-10425067949430.6,-4029451121305.07,-187546446.344396,-564238.042563359,"GNB",58,1
"20",-10221558774195.1,-3906804741003.86,-187788432.962515,-572082.278386027,"GNB",58,2
"21",-10313087820007.1,-3926758642602.46,-191233055.658055,-592617.455522263,"GNB",58,3
"22",-10200710992012.8,-3144553344088.25,-191868915.901012,-612026.450759813,"GNB",59,1
"23",-10128748556123.6,-4439227561626.83,-189772143.049064,-581016.935959932,"GNB",59,2
"24",-10002650298523.1,-3379851838894.4,-191117825.137131,-585261.408378629,"GNB",59,3
"25",-10437266690823.1,-3502235106624.33,-192039176.686871,-620475.607437456,"GNB",60,1
"26",-10366325046729.9,-4074650849569,-185491944.330337,-582210.946152402,"GNB",60,2
"27",-10255558930838.6,-3591410002685.65,-189541380.339561,-615091.94319355,"GNB",60,3
"28",-10007142677076,-3378399407881.22,-190963596.192332,-616100.183637698,"GNB",61,1
"29",-10115381021527,-2728112406865.32,-187188334.214125,-650488.587228112,"GNB",61,2
"30",-9948055081035.75,-3574781625989.14,-185311341.528431,-625448.892745486,"GNB",61,3
"31",-10877764539919,-4568094960895.51,-190225862.143494,-561420.305875535,"GNB",62,1
"32",-10720831611210.7,-3519908415899.59,-191764383.594354,-603751.224115719,"GNB",62,2
"33",-10535954328483.2,-4010880979261.64,-191020202.720034,-598761.449919748,"GNB",62,3
"34",-10603578731512.6,-3639804481423.49,-191114825.76886,-586934.98038607,"GNB",63,1
"35",-10516327813006,-3960406620405.94,-191737131.943224,-559358.024036911,"GNB",63,2
